time, G(t), Error
1, 6.0409, 0.0389 
2, 5.4378, 0.0171 
3, 5.0693, 0.0487 
4, 4.8087, 0.0455 
5, 4.6061, 0.0385 
6, 4.4389, 0.0431 
7, 4.2950, 0.0492 
8, 4.1675, 0.0361 
9, 4.0538, 0.0333 
10, 3.9503, 0.0235 
11, 3.8554, 0.0202 
12, 3.7680, 0.0147 
13, 3.6869, 0.0151 
14, 3.6112, 0.0254 
15, 3.5401, 0.0142 
16, 3.4733, 0.0155 
18, 3.3504, 0.0189 
20, 3.2389, 0.0232 
22, 3.1378, 0.0141 
24, 3.0454, 0.0169 
26, 2.9601, 0.0166 
28, 2.8809, 0.0171 
30, 2.8072, 0.0195 
32, 2.7382, 0.0134 
36, 2.6116, 0.0137 
40, 2.4979, 0.0120 
44, 2.3956, 0.0161 
48, 2.3011, 0.0112 
52, 2.2145, 0.0106 
56, 2.1340, 0.0077 
60, 2.0585, 0.0095 
64, 1.9876, 0.0084 
72, 1.8598, 0.0100 
80, 1.7436, 0.0108 
88, 1.6392, 0.0096 
96, 1.5446, 0.0078 
104, 1.4561, 0.0090 
112, 1.3763, 0.0073 
120, 1.3018, 0.0112 
128, 1.2342, 0.0072 
144, 1.1105, 0.0066 
160, 1.0009, 0.0061 
176, 0.9049, 0.0047 
192, 0.8203, 0.0048 
208, 0.7448, 0.0050 
224, 0.6762, 0.0048 
240, 0.6150, 0.0050 
256, 0.5586, 0.0052 
288, 0.4613, 0.0048 
320, 0.3831, 0.0044 
352, 0.3184, 0.0043 
384, 0.2629, 0.0042 
416, 0.2163, 0.0036 
448, 0.1777, 0.0045 
480, 0.1453, 0.0041 
512, 0.1189, 0.0044 
576, 0.0737, 0.0045 
640, 0.0486, 0.0048 
704, 0.0340, 0.0049 
768, 0.0227, 0.0039 
832, 0.0179, 0.0053 
896, 0.0154, 0.0051 
960, 0.0045, 0.0041 
1024, -0.0000, 0.0056 
1152, -0.0062, 0.0064 
1280, -0.0025, 0.0055 
1408, -0.0028, 0.0067 
1536, -0.0040, 0.0053 
1664, -0.0034, 0.0063 
1792, -0.0031, 0.0061 
1920, 0.0041, 0.0065 
2048, 0.0016, 0.0062 
2304, -0.0005, 0.0041 
2560, 0.0001, 0.0040 
2816, -0.0099, 0.0059 
3072, -0.0078, 0.0042 
3328, -0.0082, 0.0067 
3584, 0.0018, 0.0073 
3840, 0.0018, 0.0048 
4096, 0.0044, 0.0056 
4608, -0.0003, 0.0060 
5120, -0.0036, 0.0062 
5632, -0.0006, 0.0052 
6144, 0.0011, 0.0061 
6656, 0.0100, 0.0064 
7168, 0.0009, 0.0078 
7680, 0.0071, 0.0048 
8192, 0.0030, 0.0054 
9216, 0.0035, 0.0059 
10240, 0.0027, 0.0090 
11264, 0.0000, 0.0077 
12288, 0.0026, 0.0070 
13312, 0.0012, 0.0044 
14336, -0.0072, 0.0067 
15360, 0.0026, 0.0065 
16384, 0.0047, 0.0051 
18432, 0.0003, 0.0061 
20480, -0.0068, 0.0046 
22528, 0.0062, 0.0073 
24576, -0.0013, 0.0060 
26624, 0.0031, 0.0095 
28672, 0.0025, 0.0069 
30720, 0.0043, 0.0088 
32768, 0.0005, 0.0095 
36864, -0.0001, 0.0086 
40960, -0.0014, 0.0061 
45056, -0.0087, 0.0080 
49152, -0.0069, 0.0081 
53248, 0.0035, 0.0063 
57344, -0.0012, 0.0069 
61440, -0.0057, 0.0066 
65536, -0.0058, 0.0048 
73728, -0.0026, 0.0055 
81920, 0.0031, 0.0059 
90112, 0.0036, 0.0063 
98304, 0.0009, 0.0080 
106496, 0.0049, 0.0086 
114688, 0.0029, 0.0057 
122880, -0.0075, 0.0074 
