time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
0.0000 0.0695 -0.1675 -0.1262 3.0616 3.1160 2.8136
10.0000 0.0430 -0.1027 0.1030 2.9379 2.8004 2.7613
20.0000 0.1594 -0.1418 0.0613 2.8314 2.9401 2.8271
30.0000 0.1718 -0.0886 0.0849 2.7542 2.9831 2.6487
40.0000 0.1946 -0.0378 -0.0299 2.8473 2.9136 2.6703
50.0000 0.1117 -0.0973 -0.1344 2.8977 2.8425 2.7384
60.0000 0.0793 -0.0119 0.0435 2.8729 2.7990 2.7205
70.0000 0.2046 -0.1873 0.0915 2.7809 2.7142 2.6328
80.0000 0.2076 -0.2109 0.0445 2.8878 2.7868 2.7013
90.0000 0.1290 -0.2061 0.1155 2.7617 2.7739 2.5676
100.0000 0.0921 -0.0655 -0.1668 2.7799 2.7261 2.5531
110.0000 0.0240 -0.0380 -0.0688 2.7686 2.7560 2.6811
120.0000 0.1456 -0.0030 -0.2083 2.8012 2.6627 2.7258
130.0000 0.1231 -0.2153 -0.0178 2.8031 2.8094 2.6777
140.0000 0.0657 -0.1896 -0.1146 2.7371 2.7064 2.7118
150.0000 0.0845 -0.2481 -0.0919 2.6360 2.9075 2.6943
160.0000 0.3040 -0.2460 -0.2109 2.6953 2.7225 2.6885
170.0000 0.0646 -0.2377 -0.0345 2.6781 2.8769 2.8079
180.0000 -0.0418 -0.3050 -0.0325 2.6527 2.9237 2.7838
190.0000 0.0720 -0.2640 -0.0003 2.7602 2.8935 2.6723
200.0000 0.1811 -0.2376 0.0109 2.6876 2.7926 2.5901
210.0000 0.2003 -0.2250 -0.0192 2.7065 2.8133 2.6729
220.0000 0.0489 -0.2038 -0.1158 2.6970 2.8428 2.6715
230.0000 -0.0634 -0.1302 -0.0354 2.7591 2.7490 2.4667
240.0000 0.1029 -0.2390 0.0135 2.9014 2.5461 2.5867
250.0000 0.0819 -0.0671 -0.1265 2.6605 2.7632 2.5927
260.0000 0.1118 -0.2067 -0.0252 2.5897 2.7554 2.5994
270.0000 0.1082 -0.1808 -0.1277 2.7793 2.8272 2.6807
280.0000 0.1263 -0.0547 -0.0738 2.6668 2.7603 2.7690
290.0000 0.0741 -0.1926 0.0087 2.7159 2.9162 2.6492
300.0000 0.2133 -0.0861 -0.0258 2.5991 2.8338 2.6878
310.0000 0.1110 -0.0179 0.0101 2.7377 2.6291 2.6396
320.0000 0.0707 0.0853 -0.0420 2.5979 2.8450 2.6879
330.0000 0.1741 0.0635 -0.0352 2.7112 2.6995 2.5872
340.0000 0.0541 -0.0128 0.0791 2.7689 2.7518 2.4760
350.0000 0.1664 0.0500 -0.1204 2.7405 2.6718 2.4832
360.0000 0.1730 -0.0923 0.0093 2.7747 2.8249 2.6511
370.0000 0.0682 -0.0961 0.0694 2.6112 2.7590 2.4682
380.0000 0.1747 -0.0188 0.0004 2.5295 2.7417 2.5173
390.0000 0.2792 0.0075 0.0788 2.6399 2.7083 2.5056
400.0000 0.1694 -0.0698 0.0891 2.6284 2.7533 2.7074
410.0000 0.1739 -0.1103 0.0242 2.7472 2.6248 2.6248
420.0000 0.0955 0.0802 -0.0017 2.5319 2.7233 2.5740
430.0000 0.0867 -0.1223 0.0150 2.7137 2.8024 2.7717
440.0000 0.1841 -0.1748 0.0479 2.7513 2.8799 2.8763
450.0000 0.0938 -0.0713 0.0634 2.6333 2.7941 2.7679
460.0000 -0.1006 -0.0117 0.1295 2.8088 2.6784 2.5618
470.0000 0.0920 0.0355 0.0348 2.6725 2.7217 2.6154
480.0000 -0.0722 -0.0650 0.0352 2.6764 2.7217 2.6622
490.0000 0.1136 0.0394 0.0903 2.7659 2.8235 2.6486
500.0000 0.0730 -0.2255 -0.0104 2.7256 2.8770 2.6899
510.0000 0.0443 -0.0120 0.1280 2.5917 2.8141 2.4985
520.0000 0.0506 -0.0562 -0.1379 2.5927 2.9231 2.4928
530.0000 0.0770 -0.1348 -0.0838 2.6756 2.8400 2.5313
540.0000 -0.0166 0.1625 0.0654 2.8205 2.8213 2.4135
550.0000 -0.0647 0.0938 0.0419 2.7149 2.8626 2.5571
560.0000 0.0412 -0.0370 -0.0410 2.7376 2.7853 2.4956
570.0000 -0.0814 0.0189 0.0401 2.9214 2.8677 2.7871
580.0000 -0.0186 0.1517 -0.0052 2.8127 2.6167 2.6840
