Time, G(t), Error
0, 8.6843, 0.0216 
1, 7.2374, 0.0212 
2, 6.6119, 0.0210 
3, 6.2214, 0.0208 
4, 5.9390, 0.0208 
5, 5.7167, 0.0206 
6, 5.5336, 0.0206 
7, 5.3764, 0.0204 
8, 5.2372, 0.0204 
10, 5.0021, 0.0203 
12, 4.8074, 0.0201 
14, 4.6423, 0.0200 
16, 4.4947, 0.0200 
20, 4.2461, 0.0199 
24, 4.0406, 0.0196 
28, 3.8653, 0.0194 
32, 3.7111, 0.0194 
40, 3.4518, 0.0190 
48, 3.2347, 0.0187 
56, 3.0478, 0.0183 
64, 2.8839, 0.0180 
80, 2.6120, 0.0174 
96, 2.3859, 0.0166 
112, 2.1953, 0.0158 
128, 2.0315, 0.0152 
160, 1.7730, 0.0143 
192, 1.5503, 0.0141 
224, 1.3678, 0.0137 
256, 1.2199, 0.0131 
320, 0.9572, 0.0129 
384, 0.7647, 0.0125 
448, 0.6087, 0.0129 
512, 0.4895, 0.0126 
640, 0.3124, 0.0125 
768, 0.1901, 0.0126 
896, 0.1218, 0.0126 
1024, 0.0885, 0.0128 
1280, 0.0233, 0.0132 
1536, -0.0119, 0.0137 
1792, -0.0263, 0.0140 
2048, -0.0444, 0.0146 
2560, -0.0189, 0.0156 
3072, 0.0064, 0.0167 
3584, -0.0222, 0.0181 
