Time, G(t)
0, 8.6656 
1, 7.2179 
2, 6.5910 
3, 6.2007 
4, 5.9182 
5, 5.6961 
6, 5.5122 
7, 5.3536 
8, 5.2191 
10, 4.9827 
12, 4.7867 
14, 4.6192 
16, 4.4747 
20, 4.2241 
24, 4.0142 
28, 3.8361 
32, 3.6854 
40, 3.4168 
48, 3.1928 
56, 3.0028 
64, 2.8422 
80, 2.5623 
96, 2.3308 
112, 2.1362 
128, 1.9726 
160, 1.6904 
192, 1.4655 
224, 1.2790 
256, 1.1192 
320, 0.8613 
384, 0.6806 
448, 0.5399 
512, 0.4250 
640, 0.2588 
768, 0.1629 
896, 0.0909 
1024, 0.0570 
1280, 0.0298 
1536, 0.0231 
1792, 0.0086 
2048, 0.0102 
2560, 0.0156 
3072, -0.0002 
3584, 0.0000 
