time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
0.0000 -0.1212 -0.0056 0.0005 2.8808 2.9472 2.8971
10.0000 -0.1437 0.1985 -0.0588 2.8485 2.8094 2.7792
20.0000 -0.0161 -0.0702 -0.0569 2.8227 2.8116 2.8772
30.0000 -0.0126 0.0504 -0.1759 2.9096 2.8165 2.7657
40.0000 0.0586 0.1191 -0.3073 2.8873 2.7795 2.8499
50.0000 0.0641 0.0079 -0.0749 2.7897 2.8725 2.6823
60.0000 0.0535 0.1692 0.0270 2.8986 2.8615 2.6769
70.0000 0.1293 0.1622 -0.2283 2.6351 2.6441 2.5550
80.0000 -0.2147 -0.0239 -0.0158 2.8130 2.7170 2.8305
90.0000 0.0031 0.0037 -0.1862 2.8267 2.6894 2.6012
100.0000 -0.0972 -0.0749 -0.0931 2.7271 2.8812 2.7316
110.0000 -0.1393 -0.0555 -0.0842 2.7960 2.6188 2.4473
120.0000 0.0085 0.0306 -0.0375 2.8543 2.7396 2.6328
130.0000 -0.1723 -0.0490 0.1018 2.6806 2.6660 2.5870
140.0000 0.0126 0.0899 0.0477 2.8001 2.6750 2.5206
150.0000 0.0354 0.0381 0.0711 2.8443 2.3619 2.7216
160.0000 -0.0305 0.0617 0.1066 2.6862 2.5072 2.6836
170.0000 0.1106 0.0398 -0.0745 2.7810 2.5534 2.6344
180.0000 0.0966 -0.0640 -0.0938 2.7545 2.6263 2.5834
190.0000 0.0886 0.0114 0.0352 2.6907 2.6434 2.7026
200.0000 -0.0985 -0.0425 -0.1734 2.6662 2.6309 2.8082
210.0000 -0.1540 0.0919 -0.0712 2.5942 2.7529 2.5791
220.0000 -0.1065 0.0202 -0.0886 2.4943 2.6250 2.6919
230.0000 0.0378 0.1455 -0.0941 2.6575 2.6159 2.5609
240.0000 -0.0891 -0.0000 -0.0011 2.6160 2.6603 2.5591
250.0000 -0.0730 0.1189 -0.1046 2.6732 2.7848 2.7044
260.0000 -0.1155 -0.0405 -0.0730 2.3798 2.7627 2.5102
270.0000 -0.1287 -0.0280 0.0866 2.5437 2.6639 2.6244
280.0000 -0.1986 0.0570 -0.0966 2.7587 2.8464 2.7480
290.0000 -0.0488 0.0656 -0.1333 2.5946 2.8261 2.6864
300.0000 0.0009 0.0273 -0.0484 2.6672 2.9146 2.6862
310.0000 -0.1054 -0.1173 -0.0199 2.6466 2.8219 2.7585
320.0000 0.1268 -0.1570 0.0449 2.6268 2.8146 2.7777
330.0000 -0.0080 0.0271 0.1953 2.7826 2.6820 2.6069
340.0000 -0.1041 -0.0558 0.2299 2.5887 2.6889 2.6730
350.0000 0.1216 -0.1319 0.2438 2.7306 2.6033 2.7987
360.0000 0.1505 -0.1446 0.1023 2.6469 2.6794 2.6306
370.0000 0.0621 -0.0320 0.0979 2.6829 2.5714 2.9488
380.0000 0.0326 -0.2798 0.0088 2.6594 2.7016 2.9049
390.0000 0.1707 -0.1010 -0.1158 2.6182 2.7437 2.7226
400.0000 0.1318 -0.1244 -0.2158 2.7265 2.6874 2.6883
410.0000 0.2682 -0.0679 -0.2042 2.7887 2.4932 2.6028
420.0000 0.2623 0.0796 -0.0446 2.7191 2.5752 2.4091
430.0000 0.1476 -0.1286 0.0038 2.8483 2.7407 2.5027
440.0000 0.2317 -0.0722 0.0906 2.7538 2.6491 2.6483
450.0000 0.1305 0.0885 -0.0030 2.7175 2.7321 2.5861
460.0000 0.2756 0.0251 0.0619 2.8154 2.6510 2.6655
470.0000 0.0799 -0.1730 -0.0163 2.5493 2.8068 2.5028
480.0000 0.1851 0.1236 -0.0395 2.6447 2.4690 2.6549
490.0000 0.2874 -0.0225 0.0794 2.5280 2.5010 2.7154
500.0000 0.0484 0.0681 0.0558 2.5219 2.5766 2.6425
510.0000 0.0963 0.0927 -0.0334 2.7744 2.6426 2.7336
520.0000 0.1044 0.0453 0.1569 2.7028 2.6103 2.6778
530.0000 -0.0240 -0.1061 0.0477 2.6452 2.5267 2.5989
540.0000 0.1422 0.0262 0.1282 2.6325 2.5956 2.7672
550.0000 0.0119 0.0332 0.0569 2.9628 2.7328 2.8621
560.0000 -0.0054 0.0393 -0.0175 2.7350 2.6260 2.6588
570.0000 0.0590 0.0734 0.0878 2.6600 2.8465 2.5880
580.0000 0.0022 0.0016 -0.0241 2.7498 2.6583 2.8620
590.0000 -0.0430 -0.1810 0.0600 2.7722 2.5658 2.9763
600.0000 0.0208 0.1288 0.0368 2.7456 2.7650 2.9838
610.0000 0.0327 0.0453 0.0306 2.7350 2.7697 2.6493
620.0000 0.1332 -0.0157 0.0055 2.5407 2.6490 2.8749
630.0000 0.0540 -0.0057 0.0446 2.6742 2.6274 2.7828
640.0000 -0.0347 0.1811 0.0872 2.7469 2.6763 2.7121
650.0000 0.0720 0.2317 0.0077 2.9161 2.5946 2.7469
660.0000 -0.0586 0.0567 0.0446 2.8506 2.7796 2.7388
670.0000 -0.0838 0.1939 0.0299 2.9565 2.7099 2.6088
680.0000 0.0192 0.2473 -0.0005 2.7610 2.8652 2.7030
690.0000 0.1330 0.1677 0.0394 2.8087 2.7125 2.8571
